"game_id","refNum","total_cards","any_cards_light","any_cards_verylight","any_cards_dark","any_cards_verydark","proportion_cards_light","proportion_cards_verylight","proportion_cards_dark","proportion_cards_verydark"
872,2398,6,3,3,0,0,0.5,0.5,0,0
873,282,4,1,2,0,1,0.25,0.5,0,0.25
874,1959,2,1,1,0,0,0.5,0.5,0,0
875,2042,7,3,3,1,0,0.428571428571429,0.428571428571429,0.142857142857143,0
876,442,2,1,1,0,0,0.5,0.5,0,0
877,1633,3,1,1,0,1,0.333333333333333,0.333333333333333,0,0.333333333333333
878,2175,3,0,2,0,1,0,0.666666666666667,0,0.333333333333333
879,2356,5,2,2,1,0,0.4,0.4,0.2,0
880,487,3,0,2,1,0,0,0.666666666666667,0.333333333333333,0
881,1256,1,0,1,0,0,0,1,0,0
882,1953,3,2,1,0,0,0.666666666666667,0.333333333333333,0,0
883,496,2,0,2,0,0,0,1,0,0
884,735,2,0,2,0,0,0,1,0,0
885,535,2,1,1,0,0,0.5,0.5,0,0
886,295,0,0,0,0,0,0,0,0,0
887,112,2,1,1,0,0,0.5,0.5,0,0
888,2823,5,0,4,1,0,0,0.8,0.2,0
889,1651,2,0,1,1,0,0,0.5,0.5,0
890,2901,2,1,1,0,0,0.5,0.5,0,0
891,413,1,1,0,0,0,1,0,0,0
892,2700,3,1,1,1,0,0.333333333333333,0.333333333333333,0.333333333333333,0
893,88,5,2,2,1,0,0.4,0.4,0.2,0
894,3125,3,2,0,0,1,0.666666666666667,0,0,0.333333333333333
895,1219,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
896,2212,4,1,0,3,0,0.25,0,0.75,0
897,1331,1,0,1,0,0,0,1,0,0
898,399,2,0,2,0,0,0,1,0,0
899,1714,4,4,0,0,0,1,0,0,0
900,2175,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
901,2992,1,0,0,1,0,0,0,1,0
902,2423,0,0,0,0,0,0,0,0,0
903,1044,0,0,0,0,0,0,0,0,0
